anime_id,Name,English name,Other name,Score,Genres,Aired,Status,Rating,Rank,Popularity,number_of_female_reviewers,number_of_male_reviewers
1,Cowboy Bebop,Cowboy Bebop,カウボーイビバップ,8.75,"Action, Award Winning, Sci-Fi","Apr 3, 1998 to Apr 24, 1999",Finished Airing,R - 17+ (violence & profanity),41.0,43,10496,30078
5,Cowboy Bebop: Tengoku no Tobira,Cowboy Bebop: The Movie,カウボーイビバップ 天国の扉,8.38,"Action, Sci-Fi","Sep 1, 2001",Finished Airing,R - 17+ (violence & profanity),189.0,602,4802,14823
6,Trigun,Trigun,トライガン,8.22,"Action, Adventure, Sci-Fi","Apr 1, 1998 to Sep 30, 1998",Finished Airing,PG-13 - Teens 13 or older,328.0,246,6267,17386
7,Witch Hunter Robin,Witch Hunter Robin,Witch Hunter ROBIN (ウイッチハンターロビン),7.25,"Action, Drama, Mystery, Supernatural","Jul 3, 2002 to Dec 25, 2002",Finished Airing,PG-13 - Teens 13 or older,2764.0,1795,2988,4175
8,Bouken Ou Beet,Beet the Vandel Buster,冒険王ビィト,6.94,"Adventure, Fantasy, Supernatural","Sep 30, 2004 to Sep 29, 2005",Finished Airing,PG - Children,4240.0,5126,183,1075
15,Eyeshield 21,UNKNOWN,アイシールド21,7.92,Sports,"Apr 6, 2005 to Mar 19, 2008",Finished Airing,PG-13 - Teens 13 or older,688.0,1252,1762,5526
16,Hachimitsu to Clover,Honey and Clover,ハチミツとクローバー,8.0,"Comedy, Drama, Romance","Apr 15, 2005 to Sep 27, 2005",Finished Airing,PG-13 - Teens 13 or older,589.0,862,5954,7297
17,Hungry Heart: Wild Striker,UNKNOWN,ハングリーハート Wild Striker,7.55,"Comedy, Slice of Life, Sports","Sep 11, 2002 to Sep 10, 2003",Finished Airing,PG-13 - Teens 13 or older,1551.0,4212,465,1227
18,Initial D Fourth Stage,UNKNOWN,頭文字〈イニシャル〉D FOURTH STAGE,8.16,"Action, Drama","Apr 17, 2004 to Feb 18, 2006",Finished Airing,PG-13 - Teens 13 or older,393.0,1273,525,4280
19,Monster,Monster,モンスター,8.87,"Drama, Mystery, Suspense","Apr 7, 2004 to Sep 28, 2005",Finished Airing,R+ - Mild Nudity,26.0,142,3618,9598
20,Naruto,Naruto,ナルト,7.99,"Action, Adventure, Fantasy","Oct 3, 2002 to Feb 8, 2007",Finished Airing,PG-13 - Teens 13 or older,599.0,8,19792,34406
21,One Piece,One Piece,ONE PIECE,8.69,"Action, Adventure, Fantasy","Oct 20, 1999 to ?",Currently Airing,PG-13 - Teens 13 or older,55.0,20,8912,22111
22,Tennis no Ouji-sama,The Prince of Tennis,テニスの王子様,7.86,Sports,"Oct 10, 2001 to Mar 23, 2005",Finished Airing,PG-13 - Teens 13 or older,805.0,1246,3776,3749
23,Ring ni Kakero 1,UNKNOWN,リングにかけろ１,6.39,"Action, Sports","Oct 6, 2004 to Dec 15, 2004",Finished Airing,PG - Children,6943.0,8288,10,99
24,School Rumble,School Rumble,スクールランブル,7.89,"Comedy, Romance","Oct 5, 2004 to Mar 29, 2005",Finished Airing,PG-13 - Teens 13 or older,756.0,687,5682,11616
26,Texhnolyze,Texhnolyze,TEXHNOLYZE,7.76,"Action, Drama, Sci-Fi","Apr 17, 2003 to Sep 25, 2003",Finished Airing,R+ - Mild Nudity,990.0,935,844,3087
27,Trinity Blood,Trinity Blood,トリニティ・ブラッド,7.29,"Action, Supernatural","Apr 29, 2005 to Oct 28, 2005",Finished Airing,R - 17+ (violence & profanity),2591.0,1233,5268,6959
28,Yakitate!! Japan,Yakitate!! Japan,焼きたて!! ジャぱん,7.91,"Comedy, Gourmet","Oct 12, 2004 to Mar 14, 2006",Finished Airing,PG-13 - Teens 13 or older,704.0,1992,1691,2925
29,Zipang,UNKNOWN,ジパング,7.48,"Action, Drama, Sci-Fi","Oct 8, 2004 to Apr 1, 2005",Finished Airing,PG-13 - Teens 13 or older,1778.0,4430,39,422
30,Neon Genesis Evangelion,Neon Genesis Evangelion,新世紀エヴァンゲリオン,8.35,"Action, Avant Garde, Award Winning, Drama, Sci-Fi, Suspense","Oct 4, 1995 to Mar 27, 1996",Finished Airing,PG-13 - Teens 13 or older,204.0,45,10372,27521
31,Neon Genesis Evangelion: Death & Rebirth,Neon Genesis Evangelion: Death & Rebirth,新世紀エヴァンゲリオン劇場版 シト新生,7.46,"Drama, Sci-Fi","Mar 15, 1997",Finished Airing,R - 17+ (violence & profanity),1855.0,889,2604,8762
32,Neon Genesis Evangelion: The End of Evangelion,Neon Genesis Evangelion: The End of Evangelion,新世紀エヴァンゲリオン劇場版 THE END OF EVANGELION,8.55,"Avant Garde, Drama, Sci-Fi","Jul 19, 1997",Finished Airing,R+ - Mild Nudity,98.0,177,4949,16197
33,Kenpuu Denki Berserk,Berserk,剣風伝奇ベルセルク,8.56,"Action, Adventure, Drama, Fantasy, Horror","Oct 8, 1997 to Apr 1, 1998",Finished Airing,R+ - Mild Nudity,96.0,325,2672,13485
43,Koukaku Kidoutai,Ghost in the Shell,GHOST IN THE SHELL（攻殻機動隊）,8.27,"Action, Award Winning, Mystery, Sci-Fi, Suspense","Nov 18, 1995",Finished Airing,R+ - Mild Nudity,276.0,329,5164,16136
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Samurai X: Trust and Betrayal,るろうに剣心―明治剣客浪漫譚―追憶編,8.71,"Action, Drama, Romance","Feb 20, 1999 to Sep 22, 1999",Finished Airing,R - 17+ (violence & profanity),48.0,834,4058,9543
